reqId,ra,dec,startJD,endJD,created,started,ended,machine,exitcode,lightcurve
1745130,55.2881204,-2.8485376,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:18:41,2024-06-07 14:26:37,8,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745130_lc.txt
1745131,17.7852316,-13.9441306,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:18:43,2024-06-07 14:25:22,15,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745131_lc.txt
1745132,259.0307884,40.7867113,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:19:39,2024-06-07 15:20:42,2,56,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745132_lc.txt
1745133,185.4481515,10.5914751,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:20:10,2024-06-07 14:38:23,12,61,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745133_lc.txt
1745134,163.7085071,-7.3809644,2458194.5,2460468.101,2024-06-06 14:27:21,2024-06-07 14:21:18,2024-06-07 14:28:43,1,57,/ztf/ops/forcedphot/lc/batchfp/br008101-008200/8132/e314ae8dca4ed4a06ca3a76d39df4d15/batchfp_req0001745134_lc.txt
1826835,250.8363409,0.019,2458194.5,2460474.121,2024-06-12 14:55:12,2024-06-13 20:41:17,2024-06-13 20:45:31,15,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826835_lc.txt
1826836,32.76231,0.012129,2458194.5,2460474.121,2024-06-12 14:55:12,2024-06-13 20:41:41,2024-06-13 20:52:11,15,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826836_lc.txt
1826837,163.9395157,0.041546,2458194.5,2460474.121,2024-06-12 14:55:12,2024-06-13 20:42:30,2024-06-13 20:50:59,12,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826837_lc.txt
1826838,24.102259,0.05,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:42:49,2024-06-13 20:52:38,10,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826838_lc.txt
1826839,195.060528,0.02,2458194.5,2460474.121,2024-06-12 14:55:13,2024-06-13 20:42:57,2024-06-13 20:49:52,1,61,/ztf/ops/forcedphot/lc/batchfp/br008201-008300/8242/bc764e3111ff48d57dafe74da72e40b6/batchfp_req0001826839_lc.txt
