#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
02a59717o0276o,170.4280907,34.3583146,>19.97,0.0,3.0,o,22.084,59717.36246805,5413.46,838.27,192.0,189.6,-1.9,16.1,195.7,2937.9,906.1,1.0,2.23,1.95,1.0,3.0,-0.4407,-2.2011610569305105,18.651943692937483,18.99,30.0
02a59717o0311o,170.4280907,34.3583146,>19.89,0.0,3.0,o,22.075,59717.37851155,5473.26,914.86,202.0,183.5,-12.0,16.9,183.4,1271.7,947.6,1.19,2.25,1.96,1.0,3.0,-0.4347,-14.137694109176707,19.91058587042386,18.92,30.0
02a59717o0328o,170.4280907,34.3583146,>19.77,0.0,3.0,o,21.976,59717.38642215,5493.35,798.86,190.0,183.2,-19.6,19.0,184.1,2917.1,982.4,1.32,2.14,1.88,1.0,3.0,-0.4457,-23.31237063913542,22.59872663997821,18.73,30.0
01a59719o0036o,170.4280907,34.3583146,>19.866648132868562,0.0,1.25,o,22.166,59719.27960725,4372.89,7580.05,155.0,181.8,9.6,7.7,177.7,-2215.0,528.1,1.13,2.63,2.63,1.0,3.0,-0.4787,16.98796960589815,13.625767288064143,19.35,30.0
01a59719o0044o,170.4280907,34.3583146,>20.46,0.0,3.0,o,22.166,59719.28328895,4393.99,7619.79,178.0,181.0,-4.7,6.9,178.2,-77.4,428.2,1.28,2.71,2.57,1.0,3.0,-0.4677,-8.290085647776507,12.17055127013998,19.39,30.0
01a59719o0094o,170.4280907,34.3583146,>20.08,0.0,3.0,o,21.836,59719.30710415,4336.65,7541.74,185.0,182.6,3.3,6.7,180.7,-703.0,461.5,1.22,2.87,2.61,1.0,3.0,-0.4717,8.515204634289674,17.288445772648732,19.02,30.0
01a59719o0113o,170.4280907,34.3583146,>19.23463245086275,0.0,1.21,o,21.327,59719.31628635,4322.41,7662.12,206.0,182.1,6.9,5.7,181.5,1573.0,365.9,1.29,2.88,2.75,1.0,3.0,-0.4557,29.643741509558758,24.48830820354854,18.49,30.0
01a59720o0136o,170.4280907,34.3583146,>20.23,0.0,3.0,o,22.147,59720.36142665,930.89,3641.74,173.0,180.4,0.3,8.8,176.3,-2154.0,510.6,1.11,2.64,2.51,1.0,3.0,-0.4837,0.5199452898928839,15.251728503524593,19.35,30.0
01a59720o0145o,170.4280907,34.3583146,>20.19,0.0,3.0,o,22.143,59720.36557725,951.67,3679.73,179.0,181.9,3.6,9.0,178.6,-1738.5,623.2,0.96,2.67,2.51,1.0,3.0,-0.4857,6.345213344139013,15.863033360347535,19.32,30.0
01a59720o0167o,170.4280907,34.3583146,>20.33,0.0,3.0,o,22.127,59720.37570935,893.2,3602.86,164.0,181.5,-7.3,7.7,177.6,-1749.4,529.9,1.47,2.71,2.51,1.0,3.0,-0.4897,-13.302235056827815,14.031124648982765,19.3,30.0
01a59720o0179o,170.4280907,34.3583146,>20.2,0.0,3.0,o,22.129,59720.38123745,876.99,3719.84,179.0,181.6,-3.7,9.0,179.9,-1795.1,611.7,1.21,2.65,2.48,1.0,3.0,-0.4937,-6.526164614117817,15.874454466773066,19.27,30.0
