# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- HUBBLE RESID STD: 0.12958548329063316
# Cuts: {'z': 0.015, 'c': (-0.6, 0.6), 'x1': (-3.2, 0), 'c_err': 0.1, 'x1_err': 1, 't0_err': 1, 'mu_err': 0.2}
# Avg. 'c': -0.00551355667549669 +/- 0.036976974635761585
# Avg. 'x1': -0.8959520376324503 +/- 0.26954806175496693
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2003ae, 142.094086, 27.444639, 0.03275, 0.03369, nan, nan, PanPlus, 35.8337, 0.1628, 0.00276815, 0.00032689, -1.77232, 0.23893, 52667.988, 0.901, 0.0877927, 0.071269, 0.22, nan, 9.3311, 0.03
2003cq, 179.059036, 60.521969, 0.03276, 0.03323, nan, nan, PanPlus, 35.8916, 0.1563, 0.00304258, 0.000169758, -0.730779, 0.15743, 52739.578, 0.159, 0.10473, 0.0505825, -0.02, nan, 10.4839, 0.037
2003ic, 10.45929, -9.30528, 0.0531, 0.05195, nan, nan, PanPlus, 36.4888, 0.1405, 0.00198253, 0.000110574, -1.69511, 0.25008, 52906.527, 0.86, -0.00770639, 0.0373839, 6.08, nan, 9.30338, 0.462
2003it, 1.45196, 27.452669, 0.02528, 0.02413, nan, nan, PanPlus, 35.1345, 0.15, 0.00628625, 0.00030149, -1.56833, 0.1583, 52935.141, 0.334, 0.0447169, 0.0325455, 0.08, nan, 10.4235, 0.026
2003kc, 146.643005, 30.655279, 0.03316, 0.0341, nan, nan, PanPlus, 35.9153, 0.1364, 0.00325914, 0.000122198, -0.629091, 0.15609, 52978.48, 0.104, 0.0765588, 0.0329035, -0.01, nan, 10.3635, 0.045
2004L, 156.76712, 16.01869, 0.03229, 0.03344, nan, nan, PanPlus, 35.8473, 0.1386, 0.00254392, 9.06713e-05, -1.0436, 0.11904, 53031.391, 0.027, 0.17023, 0.0312248, -0.01, nan, 10.1437, 0.047
2004ef, 340.541748, 19.99456, 0.03101, 0.02978, nan, nan, PanPlus, 35.5311, 0.1459, 0.00387388, 0.0001641, -1.60075, 0.098682, 53264.73, 0.013, 0.0899582, 0.0339003, 0.2, nan, 10.3255, 0.049
2005hf, 21.774879, 19.11681, 0.04311, 0.04206, nan, nan, PanPlus, 36.3027, 0.1411, 0.00272338, 0.000232511, -1.86571, 0.21002, 53664.246, 0.841, -0.0664467, 0.0481839, 0.22, nan, 10.5678, 0.017
2005iq, 359.635406, -18.709169, 0.03404, 0.03292, nan, nan, PanPlus, 35.9707, 0.1368, 0.00424602, 0.000126271, -1.06838, 0.10983, 53687.805, 0.138, -0.0813247, 0.0276198, 0.76, nan, 10.49, 0.28089
2005ki, 160.117584, 9.20233, 0.01946, 0.02066, nan, nan, PanPlus, 34.6522, 0.1556, 0.0131859, 0.000435061, -1.57905, 0.057997, 53705.387, 0.085, -0.0812582, 0.029874, 0.08, nan, 11.0605, 0.185
