# Created by M.D. Woods -- 2024-12-10 14:13:59.817869 -- NUM TARGETS: 1513
# Avg. 'c': -0.008497671095836087 +/- 0.037995761070720425
# Avg. 'x1': -0.08243076693919366 +/- 0.2914902035029742
# Avg. 'x0': 0.008616161355039656 +/- 0.00036897059947937867
objname, ra, dec, z, z_cmb, MJDs, MJDe, origin, mu, mu_err, x0, x0_err, x1, x1_err, t0, t0_err, c, c_err, chisquare, chisquare_err, hostMass, hostMass_err
2015F, 114.065666, -69.506393, 0.00385, 0.00424, nan, nan, PanPlus, 31.6200, 0.4541, 0.19154, 0.0198995, -1.16303e+00, 0.0942601, 57106.613, 0.083, -3.16218e-03, 0.0368354, 0.38, nan, 10.64300, 0.0
2011hb, 351.981293, 8.779360, 0.02905, 0.02779, nan, nan, PanPlus, 35.3423, 0.1648, 6.40471e-03, 0.00028917, 0.16874, 0.28156, 55872.297, 0.165, 6.10759e-02, 0.0387791, 0.53, nan, 11.03100, 0.004
2011fe, 210.774216, 54.273720, 0.00111, 0.00152, nan, nan, PanPlus, 29.1157, 1.2093, 2.13144, 0.0519604, -3.71001e-01, 0.0657685, 55815.137, 0.052, 2.38016e-03, 0.0257698, 0.02, nan, 10.27400, 0.0
2015I, 109.440331, 23.344593, 0.00759, 0.00812, nan, nan, PanPlus, 33.0123, 0.2564, 6.18793e-02, 0.00268884, -1.31952e-01, 0.5007, 57157.277, 0.296, -2.12276e-02, 0.0349648, 0.16, nan, 9.38921, 0.01
2012cg, 186.803467, 9.420330, 0.00238, 0.00350, nan, nan, PanPlus, 31.1093, 0.5404, 0.33372, 0.00839746, 0.61566, 0.078422, 56082.312, 0.058, 4.67261e-02, 0.0271885, 0.14, nan, 9.67100, 0.004
2010cr, 202.354294, 11.796220, 0.02155, 0.02253, nan, nan, PanPlus, 35.3936, 0.1743, 5.31543e-03, 0.000270202, -1.76704e+00, 0.26353, 55309.949, 0.636, 4.58061e-03, 0.0411247, 12.48, nan, 10.12820, 0.002
2014at, 326.561737, -46.522530, 0.03212, 0.03142, nan, nan, PanPlus, 35.7234, 0.1814, 6.04325e-03, 0.000201519, -9.88521e-01, 0.72121, 56774.148, 0.294, -1.41444e-01, 0.0409108, 0.08, nan, 12.76240, 0.0
2013gs, 142.786957, 46.384830, 0.01681, 0.01748, nan, nan, PanPlus, 34.3305, 0.171, 1.47412e-02, 0.000408146, -3.02392e-01, 0.13046, 56640.047, 0.106, 5.17753e-02, 0.0315052, 0.17, nan, 9.13025, 0.025
2012Z, 50.522289, -15.387670, 0.00718, 0.00668, nan, nan, PanPlus, 33.1804, 0.2895, 3.47254e-02, 0.00117366, -1.13573e+00, 0.11852, 55967.730, 0.111, 8.37649e-02, 0.0332894, 4.95, nan, 9.34697, 0.016
2007cv, 159.439163, -27.082500, 0.00997, 0.01113, nan, nan, PanPlus, 33.8752, 0.2187, 2.19023e-02, 0.000962412, -2.13763e+00, 0.10632, 54290.703, 0.095, -4.30199e-02, 0.0307623, 5.62, nan, 9.00235, 0.021
