#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit,uJy,duJy,mag5sig,texp
01a59627o0117o,45.8799816666667,27.6821929166667,>19.37,0.0,3.0,o,22.157,59627.31091115,9553.16,2551.42,177.0,168.4,4.8,13.9,162.6,-716.1,1124.2,1.33,3.19,2.93,1.0,3.0,-0.4647,11.425054648400137,33.08505408599206,18.36,30.0
02a59629o0018o,45.8799816666667,27.6821929166667,None,None,None,o,22.085,59629.30201745,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4207,None,None,18.77,30.0
02a59629o0035o,45.8799816666667,27.6821929166667,>19.68,0.0,3.0,o,22.085,59629.30981085,9975.34,4283.83,214.0,182.9,4.2,13.9,184.5,1708.4,1068.0,1.25,2.74,2.4,1.0,3.0,-0.4037,7.105094199867858,23.514478423372196,18.69,30.0
02a59629o0038o,45.8799816666667,27.6821929166667,>19.200501768937436,0.0,2.54,o,22.077,59629.31118245,26.48,4286.19,91.0,148.7,44.5,17.5,95.5,-27374.5,2071.3,2.11,2.49,2.21,1.0,3.0,-0.4197,64.40363455707256,25.327272016826292,18.72,30.0
02a59629o0042o,45.8799816666667,27.6821929166667,>19.69,0.0,3.0,o,22.084,59629.31300925,9956.65,4242.25,158.0,182.4,-0.9,15.2,184.4,1793.5,977.3,1.33,2.59,2.3,1.0,3.0,-0.4197,-1.4009700622589831,23.66082771815171,18.75,30.0
02a59629o0055o,45.8799816666667,27.6821929166667,>18.759506615955562,0.0,2.68,o,22.035,59629.34259135,47.53,4171.13,115.0,143.9,63.9,23.8,62.1,-46145.6,1734.3,2.06,2.61,2.26,1.0,3.0,-0.4052,101.67368166943737,37.86907079393755,18.43,30.0
02a59629o0058o,45.8799816666667,27.6821929166667,>19.078122005788234,0.0,1.51,o,22.052,59629.34396165,10014.7,4321.9,235.0,186.0,30.6,20.2,182.1,405.0,1403.8,1.25,2.46,2.12,1.0,3.0,-0.4207,42.988385996818465,28.377954154762524,18.6,30.0
02a59629o0070o,45.8799816666667,27.6821929166667,>19.54,0.0,3.0,o,22.045,59629.34947725,10034.1,4205.68,157.0,183.2,11.1,19.8,183.6,2050.7,1202.5,1.4,2.43,2.09,1.0,3.0,-0.4177,15.241730692706774,27.187952046449922,18.57,30.0
02a59630o0034o,45.8799816666667,27.6821929166667,None,None,None,o,22.12,59630.21993545,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4307,None,None,18.52,30.0
02a59630o0056o,45.8799816666667,27.6821929166667,16.28,0.01,107.38,o,22.116,59630.23006145,27.84,4288.93,136.0,182.8,783.9,7.3,-198.6,-35347.8,624.7,462.72,2.51,2.21,1.0,3.0,-0.4297,1113.4876509668923,10.369256093963918,19.21,30.0
02a59630o0065o,45.8799816666667,27.6821929166667,>20.28,0.0,3.0,o,22.114,59630.23428985,9980.15,4279.45,193.0,180.6,-9.3,9.8,180.7,-162.2,589.2,1.63,2.49,2.21,1.0,3.0,-0.4307,-13.141148245742265,13.84766159228755,19.3,30.0
02a59630o0077o,45.8799816666667,27.6821929166667,>20.36,0.0,3.0,o,22.112,59630.23978735,9960.87,4238.61,179.0,179.5,-11.2,10.3,181.3,1096.3,520.5,1.04,2.37,2.06,1.0,3.0,-0.4377,-14.15768790202682,13.02001655275681,19.37,30.0
02a59630o0084o,45.8799816666667,27.6821929166667,16.36,0.01,118.76,o,22.113,59630.24298345,47.9,4170.7,129.0,182.6,783.8,6.6,-201.4,-34680.9,526.1,586.93,2.42,2.12,1.0,3.0,-0.4347,1037.3259234467914,8.734818952218454,19.32,30.0
02a59630o0085o,45.8799816666667,27.6821929166667,>19.76866846126438,0.0,1.24,o,22.11,59630.24344005,10018.8,4319.7,177.0,181.1,12.5,10.1,179.9,178.4,615.0,1.04,2.55,2.27,1.0,3.0,-0.4277,18.596653359149258,15.026095914192602,19.28,30.0
02a59630o0111o,45.8799816666667,27.6821929166667,>19.82334737988347,0.0,1.55,o,22.105,59630.25541535,10040.3,4204.8,206.0,181.9,16.9,10.9,177.2,-129.6,592.4,1.39,2.39,2.1,1.0,3.0,-0.4337,22.022298531167507,14.203731005309221,19.36,30.0
01a59631o0003o,45.8799816666667,27.6821929166667,>19.28,0.0,3.0,o,22.202,59631.21832635,9585.47,2449.83,179.0,185.7,-2.9,18.2,181.8,-1004.5,1469.8,1.2,2.92,2.77,1.0,3.0,-0.4667,-5.741420606497191,36.032363806292715,18.2,30.0
01a59631o0010o,45.8799816666667,27.6821929166667,>19.83,0.0,3.0,o,22.201,59631.22153945,9606.6,2487.27,160.0,181.3,-5.6,13.6,178.3,1414.8,810.5,1.15,2.64,2.48,1.0,3.0,-0.4887,-9.16647545737397,22.261440396479642,18.79,30.0
01a59631o0056o,45.8799816666667,27.6821929166667,>19.683556540262682,0.0,1.68,o,22.191,59631.24306445,9553.86,2414.27,183.0,179.7,15.5,9.2,177.5,24.1,601.2,1.05,2.74,2.58,1.0,3.0,-0.4787,27.394331838164604,16.259861478136404,19.29,30.0
01a59632o0116o,45.8799816666667,27.6821929166667,>20.24,0.0,3.0,o,22.186,59632.25688285,2578.51,6324.48,166.0,182.3,-9.4,9.3,182.3,2384.0,617.1,1.37,2.62,2.46,1.0,3.0,-0.4977,-15.485420299200403,15.32068178537912,19.25,30.0
01a59632o0125o,45.8799816666667,27.6821929166667,>20.18,0.0,3.0,o,22.187,59632.26098605,2600.05,6363.91,199.0,181.3,3.2,9.4,178.1,1417.7,658.0,1.27,2.67,2.53,1.0,3.0,-0.4867,5.46437513095753,16.05160194718774,19.23,30.0
01a59632o0140o,45.8799816666667,27.6821929166667,>20.17,0.0,3.0,o,22.184,59632.26784715,2540.34,6288.23,161.0,181.6,2.4,9.5,181.1,547.5,601.1,1.72,2.68,2.52,1.0,3.0,-0.4907,4.123873376450334,16.323665448449237,19.22,30.0
01a59632o0162o,45.8799816666667,27.6821929166667,>20.18,0.0,3.0,o,22.177,59632.27789745,2522.57,6406.14,176.0,181.3,1.5,9.3,178.7,465.9,641.7,1.12,2.72,2.49,1.0,3.0,-0.4927,2.606263101350183,16.158831228371138,19.19,30.0
02a59633o0029c,45.8799816666667,27.6821929166667,None,None,None,c,22.162,59633.21943685,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.4067,None,None,18.25,30.0
02a59633o0031c,45.8799816666667,27.6821929166667,>19.54,0.0,3.0,c,22.163,59633.22035995,9978.26,4277.22,175.0,188.2,-12.6,17.6,187.0,-1208.2,1202.6,1.08,2.66,2.39,1.0,3.0,-0.4107,-19.302289633251426,26.96192837660518,18.54,30.0
